FrameNr 	 Person 1 		 Person 2 		 Person 3 		 Person 4 
	 x 	 y   	   x 	 y   	   x 	 y   	   x 	 y   
79	1128.61	-229.529	664.932	-923.336	-453.433	237.001	-114.655	897.579	
80	1102.98	-254.867	490.842	-878.689	-446.809	250.548	-84	906.095	
81	1122.05	-218.446	653.333	-912.96	-446.823	233.599	-150.857	890.997	
82	1102	-278.109	0	0	-444.508	218.812	-171.429	935.721	
83	1101.49	-265.845	-166.525	818.235	-433.401	241.658	5.71429	1097.14	
84	1097.42	-258.896	-98.4658	904.142	-427.318	253.058	0	0	
85	1100.75	-257.952	-116.279	931.611	-427.805	240.003	-236.642	769.383	
86	1100.67	-248.684	-193.759	891.317	-425.321	211.647	0	32	
87	1097.12	-249.868	-215.918	885.329	-424.594	190.281	16	48	
88	1099.37	-239.908	-216.001	877.299	-419.092	172.772	32	64	
89	1095.69	-237.631	-304.278	820.254	-419.429	-63.3432	32	64	
90	1098.3	-230.352	-292.763	820.019	-417.346	-53.5876	16	64	
91	1099.37	-225.465	-323.129	779.746	-397.211	-267.264	0	0	
92	1100.91	-217.19	-320.711	771.831	-390.721	-298.551	0	0	
93	1101.84	-217.723	-306.941	772.38	-399.241	-275.561	428	418	
94	1105.93	-213.806	-310.134	755.973	-387.988	-350.849	0	96	
95	1117.77	-236.448	-313.283	738.279	-376.348	-421.863	590.205	539.317	
96	1113.48	-225.866	-299.658	737.638	-380.488	-423.367	426.667	428.444	
97	1124.53	-221.656	-292.496	733.738	-382.257	-426.344	463.186	443.661	
98	1171.52	-272.528	-281.507	731.311	-386.331	-427.543	592.567	449.829	
99	1172.81	-276.832	-261.025	728.898	-393.38	-428.611	586.289	447.369	
100	1151.84	-237.887	-255.058	731.07	-401.529	-423.162	493.334	452.148	
101	1187.99	-273.598	-251.563	730.205	-408.994	-429.035	601.43	503.483	
102	1205.94	-288.724	-228.991	728.904	-416.485	-433.479	604.273	469.218	
103	1218.06	-300.101	-223.217	730.022	-428.193	-434.694	611.415	488.537	
104	1274.34	-354.628	-212.881	731.899	-439.464	-435.639	623.865	414.761	
105	1280.2	-360.264	-173.387	733.219	-447.095	-422.238	625.832	397.218	
106	1289.81	-365.278	-165.301	735.091	-460.078	-423.497	634.137	432.854	
107	1217.09	-271.263	-140.633	735.002	-471.591	-415.018	313.6	339.2	
108	1238.98	-279.531	-96.9207	737.548	-476.403	-397.4	44.8	192	
109	1309.66	-352.508	-80.3001	747.24	-478.601	-381.465	625.607	465.952	
110	1293.23	-334.595	-66.3809	750.105	-480.187	-376.948	576.5	478.108	
111	1260.76	-290.636	-52.7228	761.119	-479.457	-352.543	9.68067	150.319	
112	1273.11	-310.817	-36.8477	769.458	-476.493	-331.443	-4	155.636	
113	1272.68	-297.629	-48.4876	775.262	-484.44	-337.274	-26.1911	150.522	
114	1294.18	-318.063	-22.5853	781.099	-490.231	-314.443	-32.3895	143.513	
115	1315.96	-324.652	-9.55471	781.512	-473.948	-294.034	-24.4838	177.34	
116	1356.04	-369.821	19.8649	788.97	-459.848	-260.151	198.558	288.641	
117	1369.42	-384.043	24.598	794.582	-458.713	-244.97	209.788	279.321	
118	1342.37	-371.285	29.7599	801.341	-477.373	-255.257	147.014	289.256	
119	1280.16	-366.64	57.6165	804.334	-476.79	-238.197	274.195	314.166	
120	1130.7	-469.673	94.4598	807.094	-504.485	-230.223	1004.14	310.191	
121	1170.13	-436.395	104.962	819.67	-478.277	-209.763	907.209	344.509	
122	801.513	-620.799	96.8835	829.263	-509.85	-230.979	1342.26	262.528	
123	1240.7	-357.881	204.811	821.06	-497.003	-209.083	-119.285	344.603	
124	715.842	-593.22	172.037	831.753	-521.88	-194.93	1364.37	252.496	
125	1075.84	-422.85	464.242	762.173	-527.52	-209.253	-158.905	402.898	
126	980.46	-487.462	576.406	718.995	-535.715	-206.941	-161.897	375.498	
127	775.869	-588.857	618.916	712.416	-494.607	-138.317	736.806	296.301	
128	690.353	-581.318	789.176	636.336	-520.24	-160.576	-171.949	470.659	
129	858.759	-600.281	741.59	668.412	-508.78	-131.235	-135.785	415.157	
130	745.489	-601.146	779.54	649.145	-526.909	-133.776	-133.082	420.445	
131	850.412	-640.762	768.802	664.152	-520.581	-135.215	-131.464	404.443	
132	802.117	-636.165	770.13	663.18	-534.141	-123.075	-105.977	388.645	
133	714.53	-656.72	804.853	651.995	-553.812	-147.019	-147.695	421.692	
134	712.768	-702.904	802.505	652.788	-552.561	-130.798	-146.46	412.671	
135	773.186	-771.132	796.871	657.902	-548.13	-104.729	-128.706	382.155	
136	791.735	-794.992	785.401	662.078	-525.12	-32.8639	-17.813	328.181	
137	758.75	-814.926	638.556	730.097	-524.144	-9.75876	1036.09	197.012	
138	764.308	-837.579	704.422	701.949	-520.957	5.4091	808.746	194.237	
139	771.929	-871.348	733.01	690.377	-522.64	0.879806	513.271	237.98	
140	772.956	-892.605	743.809	690.831	-518.142	29.6009	681.301	191.972	
141	819.783	-900.427	775.811	677.099	-528.914	-6.19547	-122.798	364.626	
142	735.441	-893.706	601.336	752.184	-518.635	39.1301	1433.4	192.431	
143	739.08	-914.595	749.799	693.585	-520.695	38.1723	616.755	248.14	
144	748.417	-921.656	793.664	680.783	-522.557	6.43124	-201.118	427.684	
145	745.732	-897.345	801.56	684.046	-471.469	-77.9072	-269.292	480.819	
146	735.115	-905.969	801.355	685.164	-473.669	-30.7841	-233.905	470.809	
147	704.15	-929.67	819.278	686.608	-518.846	13.0126	-304.915	495.535	
148	678.206	-935.182	813.975	691.134	-524.955	70.9469	-283.782	501.813	
149	660.424	-934.861	823.316	690.664	-526.534	65.7007	-308.178	503.555	
150	658.12	-918.736	834.557	692.685	-518.559	55.6988	-316.934	508.167	
151	699.631	-848.298	841.753	695.348	-409.353	-137.202	-363.178	512.059	
152	642.199	-896.307	843.74	702.162	-516.466	14.0852	-363.65	512	
153	632.75	-867.139	857.885	701.754	-501.112	25.2471	-351.632	524.962	
207	-124.431	-1263.39	0	0	1303.26	18.8546	-813.156	733.156	
212	-193.69	-1253.59	0	0	1357.39	13.739	-775.901	554.667	
215	-240.3	-1226.12	0	0	1370.99	18.993	0	0	
221	-334.106	-1194.69	0	0	1358.71	16.4566	0	0	
224	-388.86	-1174.01	1539.73	-449.968	1324.06	54.6311	64	-704	
229	-468.72	-1124.31	1494.62	-258.139	1009.88	453.959	-64	-512	
231	-503.388	-1086.94	1479.8	-261.087	962.927	488.468	-80	-464	
235	-576.213	-981.366	1438.85	-284.432	982.154	464.722	0	0	
243	-685.305	-767.072	1402.78	-286.758	831.666	636.552	-235.346	-638.598	
251	-731.659	-618.216	1340.92	-346.979	918.742	612.298	-295.575	-505.894	
255	-708.875	-633.523	1290.93	-451.509	1104.25	355.931	-238.357	-120.179	
262	-694.817	-714.165	1270.35	-441.577	996.194	646.379	-225.097	701.257	
269	-727.329	-809.886	1235.89	-526.239	1061.09	619.044	-231.092	630.599	
277	-815.308	-913.125	1217.79	-596.371	1006.45	624.16	-215.273	554.182	
289	-927.286	-887.361	1183.92	-664.302	862.399	690.41	0	0	
296	-954.461	-806.059	1161.63	-661.207	766.881	726.139	-211.2	-124.8	
306	-1036.91	-854.426	1115.77	-609.873	622.86	754.696	-356.52	-300.655	
312	-1057.62	-924.384	1099.76	-511.845	505.827	735.713	-312.32	-394.24	
