FrameNr 	 Person 1 		 Person 2 		 Person 3 		 Person 4 	
	 x 	 y   	   x 	 y   	   x 	 y   	   x 	 y   
316	-1332.54	-1149.67	1081.37	-435.847	384.125	716.982	-515.338	-535.757
320	843.005	-84.3624	-137.058	897.582	-164.56	-113.72	-1089.85	-1316.83
324	867.861	-89.3778	-199.803	902.974	-145.341	-101.676	-1038.59	-1327.52
328	883.589	-74.6872	-239.822	907.51	-120.81	-88.8366	-955.627	-1325.11
332	909.557	-37.3214	-264.408	906.374	-91.7441	-80.9208	-883.419	-1419.74
336	949.092	12.7767	-285.897	896.83	-31.1944	-80.2913	-794.362	-1498.97
340	997.68	59.7139	-322.654	877.117	38.0826	-62.616	-702.479	-1530.17
344	1046.2	92.4672	-370.665	845.608	117.374	-20.8281	-634.02	-1567.22
348	1085.09	107.464	-409.613	806.8	169.545	-14.7942	-543.644	-1614.14
352	1129	106.654	-437.324	766.241	193.201	-23.0146	-469.371	-1657.39
356	1162.26	92.3332	-471.12	710.518	211.637	-28.8859	-386.75	-1714.64
360	1190.56	60.8679	-502.058	649.979	216.067	-32.1299	-310.965	-1740.76
364	1213.3	20.6532	-539.843	578.388	187.109	-53.2592	-261.226	-1694.78
368	1237.86	-34.7844	-550.89	529.605	140.011	-79.6091	-238.612	-1597.21
372	1259.48	-104.474	-560.353	482.766	104.882	-92.9427	-220.295	-1495.91
376	1278.71	-172.866	-573.523	400.448	160.268	-42.4431	-199.381	-1383.65
380	1288.96	-252.132	-580.238	302.08	190.067	21.0259	-105.939	-1415.2
384	1278.57	-343.012	-582.78	339.311	207.098	83.6693	1.84024	-1398.04
388	1314.81	-343.226	-597.733	260.262	228.708	126.502	351.503	-1677.29
392	1326.54	-380.771	-594.204	267.225	280.346	172.736	459.083	-1712.58
396	1323.48	-415.337	-589.105	295.883	325.474	207.628	552.09	-1654.78
400	1344.03	-426.864	-592.029	277.535	365.366	219.893	590.85	-1505.01
404	1347.95	-473.017	-609.767	238.789	416.887	229.526	594.467	-1360.74
408	1233.03	-623.62	-624.699	197.529	498.097	261.565	347.06	-42.7383
412	1287.56	-548.651	-633.524	152.635	620.549	321.466	453.666	139.869
416	1309.18	-508.3	-627.825	127.275	665.952	313.746	544.252	91.185
420	1256.34	-552.85	-613.705	124.425	728.411	319.618	600.838	88.5066
424	1196.36	-594.603	-599.843	115.645	779.342	313.053	627.415	84.8653
428	1122.83	-645.087	-578.151	111.493	799.665	301.842	649.665	68.6584
432	1084.75	-662.703	-545.578	106.448	837.652	298.294	685.657	60.6543
436	1051.11	-677.739	-517.402	87.3034	870.978	283.161	739.263	19.52
440	1005.91	-698.364	-492.943	64.9329	940.628	280.369	740.226	30.0545
444	960.381	-722.961	-475.644	45.2658	1037.02	251.776	705.764	127.269
448	924.15	-718.74	-453.775	23.2776	1089.64	222.307	626.244	345.073
452	888.704	-701.404	-430.954	6.31044	1155.04	237.491	603.731	476.033
456	851.374	-705.732	-407.711	-15.3724	1212.92	261.678	635.632	475.609
460	813.819	-700.227	-382.281	-20.5332	1214.69	266.992	592.055	653.847
464	787.216	-732.57	-352.163	-19.3288	1236.52	270.543	598.065	656.208
468	900.984	-406.278	439.975	944.397	-571.187	-164.304	-255.212	-1611.45
472	1000.65	-276.69	450.797	964.298	-611.246	-145.255	-132.689	-1590.08
476	1051.59	-212.117	463.53	984.96	-661.606	-167.736	-73.509	-1590.36
480	1086.86	-161.982	473.021	1006.94	-709.629	-179.81	-26.6424	-1577.41
484	1116.55	-118.572	488.877	1026.17	-734.183	-171.932	7.85751	-1570.11
488	1136.21	-92.9583	503.418	1052.58	-746.471	-144.601	23.5403	-1569.48
492	1144.3	-79.8545	518.924	1084.32	-753.784	-115.439	35.1834	-1568.24
496	1145.23	-77.5267	526.528	1119.06	-755.741	-94.0264	45.8592	-1574.79
500	1136.38	-90.1022	537.203	1147.9	-756.393	-84.5355	66.5205	-1566.07
504	1118.74	-116.459	544.154	1167.37	-750.626	-80.6165	98.5007	-1542.66
508	1094.84	-151.731	542.416	1180.37	-730.98	-69.1364	149.786	-1513.51
512	1078.53	-193.518	539.799	1187.14	-710.245	-71.5239	200.766	-1491.65
516	1071.3	-234.178	548.608	1182.29	-686.927	-84.4569	241.388	-1489.56
520	1082.74	-268.185	554.55	1169.32	-662.385	-107.654	287.011	-1516.87
524	1087.41	-304.628	568.773	1144.18	-637.692	-131.344	344.854	-1526.8
528	1093.03	-328.474	588.572	1112.21	-624.197	-143.987	423.968	-1544.75
532	795.939	-938.397	610.528	1066.14	-618.195	-152.248	-320	0
536	1059.54	-355.06	630.036	1012.73	-613.808	-161.501	586.957	-1555.65
540	1044	-329.244	650.192	962.221	-606.795	-173.188	647.725	-1558.24
544	969.718	-443.522	682.372	914.382	-602.507	-197.661	-320	-13.3333
548	937.036	-328.122	720.591	874.054	-597.202	-212.148	-320	-8
552	875.689	-278.805	770.03	845.496	-596.226	-207.955	-320	32
556	829.083	-246.065	809.882	832.258	-604.858	-193.627	-352	64
560	785.448	-213.085	863.975	813.086	-612.943	-172.762	182.857	59.4286
564	739.452	-161.298	933.559	786.305	-624.063	-155.661	498.068	70.5306
568	693.617	-88.1919	982.838	777.374	-629.105	-131.123	483.593	93.7544
572	646.888	-19.5702	1014.16	776.507	-626.796	-101.613	469.538	223.282
576	604.648	51.7316	1032.45	780.772	-615.241	-95.5693	-288.525	292.197
580	615.569	115.664	1056.62	777.284	-581.254	-104.491	466.343	-119.075
584	656.389	89.1833	1105.99	764.252	-550.581	-146.875	418.39	143.403
588	679.668	111.789	1151.08	746.128	-523.302	-203.939	409.639	111.744
592	616.839	-74.8107	1218.04	714.062	-476.686	-266.142	424.762	345.702
596	372.475	331.554	1271.22	679.365	-399.104	-329.169	692.112	-169.607
600	341.486	354.969	1308.47	665.307	-315.821	-364.734	723.231	-214.433
604	264.483	408.537	1326.16	664.539	-246.283	-404.453	824.337	-242.707
608	200.942	459.002	1344.6	672.526	-209.551	-442.13	991.53	-237.815
612	149.956	542.108	1419.3	651.357	-176.465	-464.829	1121.98	-224.735
616	148.522	637.944	1542.4	607.958	-132.9	-476.392	1151.55	-247.683
620	-686.409	37.7826	1513.64	571.807	297.69	-1802.62	170.617	-8.18264
624	-737.274	-47.4848	1546.05	505.639	58.3677	106.062	249.179	-1796.3
628	-712.264	-135.76	1559.33	438.019	12.7962	158.899	189.157	-1811.84
632	-674.73	-207.791	1563.98	377.964	-12.9853	195.95	121.718	-1834.15
636	-632.912	-259.377	1557.6	328.817	-5.19261	207.433	38.2887	-1838.99
640	-614.315	-374.632	1547.45	285.233	-157.468	123.811	-38.3095	-1818.11
644	-590.286	-471.855	1537.03	239.988	-216.248	54.8051	-118.496	-1790.47
648	-529.617	-546.26	1518.34	201.394	-195.358	66.2631	-207.159	-1807.4
652	-335.902	-1749.96	1502.26	156.226	-141.917	221.892	-302.973	-340.214
656	-402.417	-1807.62	1477.44	113.319	-122.08	254.288	-282.712	-353.853
660	-473.824	-1823.37	1448.25	70.2577	-101.767	307.415	-256.781	-344.216
664	-549.58	-1818.7	1423.03	29.8545	-179.479	308.694	-192.135	-362.773
668	-656.255	-1801.97	1406.08	-14.4536	-248.538	324.32	-140.225	-358.516
